id_course,id_chauffeur,id_client,date_heure_demande,jour_semaine,heure,est_weekend,est_pointe,depart,arrivee,distance_km,tarif_estime,multiplicateur_tarif,moyen_paiement,statut_course,nb_courses_client_mois,derniere_course_il_y_a_jours,segment_client,nb_courses_chauffeur_mois,note_chauffeur,segment_chauffeur,incitation,points_gagnes,points_utilises_reduction,cout_incitation,recette_course,revenu_net,revenu_moyen_segment,hausse_revenu_positive
C00059,CH0143,CL0423,2025-01-05 07:41:00,dim,7,1,1,Haie Vive,Agla,4.29,1068.0,1.2,cash,terminee,21,47,inactif,229,3.67,intermediaire,remise_bienvenue,0,0,256.32,1288.68,1032.3600000000001,800.0,1
C00060,CH0233,CL0708,2025-01-30 12:42:00,jeu,12,0,0,Agla,Jéricho,8.52,2031.0,1.0,carte,terminee,21,24,nouveau_client,149,4.75,faible_activite,remise_bienvenue,0,0,406.2,2087.35,1681.1499999999999,1200.0,1
C00061,CH0187,CL0209,2025-02-05 05:32:00,mer,5,0,0,Zopah,Sainte-Rita,8.52,2070.0,1.0,cash,terminee,16,43,inactif,237,5.0,intermediaire,aucune,0,0,0.0,1970.13,1970.13,800.0,1
C00062,CH0084,CL0421,2025-01-25 16:06:00,sam,16,1,0,Zopah,Zopah,3.54,907.0,1.0,carte,annulee,22,43,inactif,245,4.65,intermediaire,prime_objectif,0,0,300.0,0.0,-300.0,800.0,0
C00063,CH0190,CL0514,2025-03-16 20:04:00,dim,20,1,0,Akpakpa,Haie Vive,8.43,2056.0,1.0,cash,terminee,17,29,nouveau_client,225,4.7,intermediaire,aucune,0,0,0.0,2130.31,2130.31,1200.0,1
C00064,CH0182,CL0794,2025-02-02 08:35:00,dim,8,1,1,Gbodjè,Jéricho,3.77,939.0,1.2,cash,terminee,16,54,inactif,421,4.86,performant,aucune,0,0,0.0,1221.4,1221.4,800.0,1
C00065,CH0108,CL0627,2025-01-26 12:49:00,dim,12,1,0,Sainte-Rita,Fidjrossè,6.51,1531.0,1.0,cash,terminee,28,19,nouveau_client,229,4.37,intermediaire,aucune,0,0,0.0,1504.48,1504.48,1200.0,1
C00066,CH0137,CL0483,2025-02-19 02:13:00,mer,2,0,0,Gbodjè,Agla,5.45,1347.0,1.1,portefeuille,terminee,22,57,inactif,234,4.12,intermediaire,aucune,0,0,0.0,1613.59,1613.59,800.0,1
C00067,CH0037,CL0754,2025-01-13 22:23:00,lun,22,0,0,Gbodjè,Akpakpa,2.92,782.0,1.0,carte,terminee,20,36,inactif,239,4.47,intermediaire,aucune,0,0,0.0,754.35,754.35,800.0,0
C00068,CH0088,CL0745,2025-03-14 10:44:00,ven,10,0,0,Sainte-Rita,Fidjrossè,1.97,509.0,1.0,cash,terminee,27,15,nouveau_client,216,4.27,intermediaire,remise_bienvenue,0,0,101.8,546.57,444.77000000000004,1200.0,0
C00069,CH0274,CL0064,2025-01-07 23:01:00,mar,23,0,0,Fidjrossè,Menontin,8.07,2026.0,1.0,cash,terminee,13,30,inactif,517,4.52,performant,points_gowin,101,28,28.0,2180.07,2152.07,800.0,1
C00070,CH0126,CL0723,2025-03-31 01:40:00,lun,1,0,0,Calavi Tokpa,Fidjrossè,9.51,2672.0,1.0,cash,terminee,15,28,nouveau_client,256,4.58,intermediaire,points_gowin,133,27,27.0,2641.71,2614.71,1200.0,1
C00071,CH0084,CL0142,2025-03-11 18:02:00,mar,18,0,1,Fidjrossè,Cadjehoun,4.99,1457.0,1.3,carte,terminee,34,5,regulier,436,4.36,performant,prime_objectif,0,0,300.0,2071.53,1771.5300000000002,2000.0,0
C00072,CH0237,CL0532,2025-01-19 03:13:00,dim,3,1,0,Fidjrossè,Cadjehoun,3.77,1062.0,1.0,portefeuille,terminee,22,28,nouveau_client,253,4.29,intermediaire,remise_bienvenue,0,0,212.4,1075.26,862.86,1200.0,0
C00073,CH0195,CL0213,2025-01-01 17:55:00,mer,17,0,1,Zopah,Sainte-Rita,1.62,405.0,1.3,carte,terminee,18,31,inactif,272,3.85,intermediaire,aucune,0,0,0.0,511.33,511.33,800.0,0
C00074,CH0139,CL0575,2025-03-15 15:23:00,sam,15,1,0,Haie Vive,Menontin,7.94,2230.0,1.0,carte,terminee,16,8,nouveau_client,526,4.45,performant,prime_objectif,0,0,300.0,2316.43,2016.4299999999998,1200.0,1
C00075,CH0286,CL0333,2025-03-05 20:48:00,mer,20,0,0,Cadjehoun,Agla,4.62,1092.0,1.0,portefeuille,terminee,15,36,inactif,250,4.37,intermediaire,points_gowin,54,16,16.0,1200.65,1184.65,800.0,1
C00076,CH0113,CL0679,2025-03-07 20:39:00,ven,20,0,0,Akpakpa,Fidjrossè,3.21,754.0,1.1,portefeuille,terminee,19,52,inactif,233,4.39,intermediaire,remise_bienvenue,0,0,165.88,899.81,733.93,800.0,0
C00077,CH0167,CL0490,2025-03-11 15:56:00,mar,15,0,0,Calavi Kpota,Jéricho,6.63,1664.0,1.1,cash,annulee,24,22,nouveau_client,62,4.72,faible_activite,aucune,0,0,0.0,0.0,0.0,1200.0,0
C00078,CH0029,CL0539,2025-01-07 21:56:00,mar,21,0,0,Sainte-Rita,Sainte-Rita,1.43,408.0,1.0,carte,terminee,17,15,nouveau_client,239,5.0,intermediaire,points_gowin,20,1,1.0,404.65,403.65,1200.0,0
C00079,CH0118,CL0386,2025-02-02 12:17:00,dim,12,1,0,Jéricho,Cadjehoun,1.86,453.0,1.0,carte,terminee,1,17,nouveau_client,418,4.39,performant,remise_bienvenue,0,0,90.6,469.56,378.96000000000004,1200.0,0
C00080,CH0017,CL0322,2025-01-11 16:16:00,sam,16,1,0,Menontin,Gbodjè,2.37,544.0,1.0,portefeuille,terminee,15,18,nouveau_client,260,4.62,intermediaire,aucune,0,0,0.0,526.21,526.21,1200.0,0
C00081,CH0162,CL0178,2025-03-19 22:18:00,mer,22,0,0,Cadjehoun,Jéricho,5.34,1254.0,1.0,cash,terminee,20,43,inactif,242,4.58,intermediaire,aucune,0,0,0.0,1278.17,1278.17,800.0,1
C00082,CH0206,CL0471,2025-02-26 08:19:00,mer,8,0,1,Agla,Jéricho,4.32,1250.0,1.2,cash,terminee,24,1,nouveau_client,103,4.84,faible_activite,remise_bienvenue,0,0,300.0,1542.69,1242.69,1200.0,0
C00083,CH0138,CL0546,2025-01-31 00:44:00,ven,0,0,0,Cadjehoun,Fidjrossè,5.76,1570.0,1.0,portefeuille,terminee,22,57,inactif,237,4.23,intermediaire,aucune,0,0,0.0,1565.75,1565.75,800.0,1
C00084,CH0034,CL0351,2025-01-06 23:17:00,lun,23,0,0,Akpakpa,Cadjehoun,7.6,1854.0,1.1,cash,terminee,14,9,nouveau_client,220,4.22,intermediaire,remise_bienvenue,0,0,407.88,2085.55,1677.67,1200.0,1
C00085,CH0109,CL0560,2025-01-29 05:43:00,mer,5,0,0,Haie Vive,Akpakpa,5.89,1571.0,1.0,cash,terminee,48,11,regulier,243,4.25,intermediaire,remise_bienvenue,0,0,314.2,1709.23,1395.03,2000.0,0
C00086,CH0291,CL0363,2025-01-30 12:23:00,jeu,12,0,0,Fidjrossè,Fidjrossè,11.54,3053.0,1.0,cash,terminee,19,45,inactif,263,3.82,intermediaire,aucune,0,0,0.0,3129.39,3129.39,800.0,1
C00087,CH0162,CL0693,2025-03-07 21:56:00,ven,21,0,0,Calavi Tokpa,Calavi Kpota,7.59,2081.0,1.0,carte,terminee,17,17,nouveau_client,51,4.49,faible_activite,remise_bienvenue,0,0,416.2,2236.34,1820.14,1200.0,1
C00088,CH0109,CL0791,2025-02-27 15:07:00,jeu,15,0,0,Calavi Tokpa,Zopah,3.53,856.0,1.1,portefeuille,annulee,39,18,regulier,239,4.18,intermediaire,aucune,0,0,0.0,0.0,0.0,2000.0,0
C00089,CH0256,CL0739,2025-03-22 02:22:00,sam,2,1,0,Calavi Kpota,Cadjehoun,2.63,762.0,1.0,cash,terminee,25,37,inactif,258,4.58,intermediaire,aucune,0,0,0.0,760.18,760.18,800.0,0
C00090,CH0203,CL0698,2025-02-12 17:59:00,mer,17,0,1,Jéricho,Sainte-Rita,3.6,894.0,1.3,portefeuille,terminee,22,36,inactif,254,3.78,intermediaire,prime_objectif,0,0,300.0,1273.43,973.4300000000001,800.0,1
C00091,CH0235,CL0659,2025-01-12 00:19:00,dim,0,1,0,Zopah,Agla,6.02,1668.0,1.0,cash,terminee,21,26,nouveau_client,252,4.48,intermediaire,aucune,0,0,0.0,1607.98,1607.98,1200.0,1
C00092,CH0074,CL0710,2025-03-06 10:36:00,jeu,10,0,0,Haie Vive,Zopah,2.83,640.0,1.0,cash,terminee,23,47,inactif,487,4.42,performant,prime_objectif,0,0,300.0,664.22,364.22,800.0,0
C00093,CH0136,CL0271,2025-03-10 17:17:00,lun,17,0,1,Cadjehoun,Akpakpa,6.13,1551.0,1.2,portefeuille,terminee,48,13,regulier,261,4.34,intermediaire,aucune,0,0,0.0,1988.66,1988.66,2000.0,0
C00094,CH0072,CL0625,2025-02-20 18:21:00,jeu,18,0,1,Zopah,Sainte-Rita,5.69,1430.0,1.2,carte,terminee,20,44,inactif,253,4.8,intermediaire,aucune,0,0,0.0,1839.73,1839.73,800.0,1
C00095,CH0127,CL0496,2025-03-11 15:17:00,mar,15,0,0,Menontin,Akpakpa,1.95,518.0,1.0,portefeuille,terminee,17,52,inactif,252,4.26,intermediaire,aucune,0,0,0.0,507.51,507.51,800.0,0
C00096,CH0288,CL0197,2025-02-14 16:35:00,ven,16,0,0,Calavi Tokpa,Akpakpa,7.5,1728.0,1.0,cash,terminee,17,33,inactif,234,4.59,intermediaire,prime_objectif,0,0,300.0,1745.71,1445.71,800.0,1
C00097,CH0276,CL0253,2025-02-17 07:06:00,lun,7,0,1,Fidjrossè,Zopah,4.87,1384.0,1.2,portefeuille,terminee,19,1,nouveau_client,144,4.31,faible_activite,remise_bienvenue,0,0,332.16,1733.26,1401.1,1200.0,1
C00098,CH0135,CL0286,2025-02-08 17:29:00,sam,17,1,1,Haie Vive,Menontin,11.19,2701.0,1.3,cash,terminee,53,43,regulier,232,5.0,intermediaire,aucune,0,0,0.0,3502.11,3502.11,2000.0,1
C00099,CH0300,CL0572,2025-01-03 12:54:00,ven,12,0,0,Jéricho,Gbodjè,3.78,1042.0,1.0,cash,annulee,14,32,inactif,555,4.46,performant,prime_objectif,0,0,300.0,0.0,-300.0,800.0,0
C00100,CH0220,CL0306,2025-01-10 23:02:00,ven,23,0,0,Haie Vive,Gbodjè,3.11,887.0,1.0,carte,terminee,41,18,regulier,405,4.7,performant,prime_objectif,0,0,300.0,930.24,630.24,2000.0,0
C00101,CH0299,CL0231,2025-01-04 01:53:00,sam,1,1,0,Fidjrossè,Calavi Tokpa,1.79,478.0,1.0,portefeuille,terminee,0,59,inactif,275,4.68,intermediaire,prime_objectif,0,0,300.0,481.26,181.26,800.0,0
C00102,CH0205,CL0305,2025-02-27 12:38:00,jeu,12,0,0,Akpakpa,Akpakpa,1.77,497.0,1.0,cash,terminee,18,59,inactif,235,4.84,intermediaire,aucune,0,0,0.0,498.31,498.31,800.0,0
C00103,CH0186,CL0790,2025-01-29 13:00:00,mer,13,0,0,Jéricho,Akpakpa,6.94,1906.0,1.1,portefeuille,annulee,18,26,nouveau_client,96,4.54,faible_activite,remise_bienvenue,0,0,419.32,0.0,-419.32,1200.0,0
C00104,CH0113,CL0296,2025-02-16 00:30:00,dim,0,1,0,Jéricho,Zopah,10.49,2640.0,1.0,portefeuille,terminee,18,47,inactif,455,4.1,performant,aucune,0,0,0.0,2550.79,2550.79,800.0,1
C00105,CH0071,CL0722,2025-03-23 22:20:00,dim,22,1,0,Calavi Tokpa,Fidjrossè,3.57,1020.0,1.0,cash,terminee,17,29,nouveau_client,435,4.63,performant,aucune,0,0,0.0,975.01,975.01,1200.0,0
C00106,CH0261,CL0213,2025-01-23 16:28:00,jeu,16,0,0,Fidjrossè,Haie Vive,3.42,845.0,1.0,portefeuille,terminee,28,6,nouveau_client,143,4.58,faible_activite,remise_bienvenue,0,0,169.0,908.62,739.62,1200.0,0
C00107,CH0253,CL0707,2025-02-07 04:25:00,ven,4,0,0,Haie Vive,Akpakpa,4.02,1077.0,1.1,carte,terminee,15,26,nouveau_client,254,3.59,intermediaire,aucune,0,0,0.0,1212.46,1212.46,1200.0,0
C00108,CH0047,CL0722,2025-03-10 05:59:00,lun,5,0,0,Calavi Tokpa,Calavi Tokpa,7.82,2197.0,1.1,cash,terminee,25,20,nouveau_client,470,4.0,performant,remise_bienvenue,0,0,483.34,2499.91,2016.57,1200.0,1
C00109,CH0025,CL0501,2025-01-21 20:12:00,mar,20,0,0,Sainte-Rita,Zopah,1.97,499.0,1.0,carte,terminee,19,6,nouveau_client,263,4.71,intermediaire,remise_bienvenue,0,0,99.8,501.91,402.11,1200.0,0
C00110,CH0057,CL0325,2025-01-08 04:16:00,mer,4,0,0,Akpakpa,Sainte-Rita,4.49,1112.0,1.0,portefeuille,annulee,19,47,inactif,258,4.93,intermediaire,prime_objectif,0,0,300.0,0.0,-300.0,800.0,0
C00111,CH0079,CL0492,2025-01-27 07:51:00,lun,7,0,1,Menontin,Calavi Kpota,7.04,1827.0,1.2,portefeuille,terminee,12,24,nouveau_client,264,4.48,intermediaire,aucune,0,0,0.0,2127.75,2127.75,1200.0,1
